comment_timestamp	username	comment_text	negative	neutral	positive	compound
1662300046.944393	Kosmic	"Be sure to follow the Twitch stream so you can participate next time!
http://www.twitch.tv/kosmic"	0.0	0.834	0.166	0.3802
1672844446.948869	kewltony	Ok, so imagine a bus on crack	0.0	1.0	0.0	0.0
1670166046.951137	Luk Ahmad	So hilarious lol	0.0	0.141	0.859	0.7245
1670166046.95509	Quinn 78	Run begins at 2:42	0.0	1.0	0.0	0.0
1670166046.957675	Nelson B. Win	1:32 seconds before disaster.	0.577	0.423	0.0	-0.6249
1667574046.95984	Guille	totally legit world record for me	0.0	1.0	0.0	0.0
1667574046.963808	Robert McGarry	🧀 delicious cheese 🧀	0.0	0.575	0.425	0.5719
1664892046.96609	Explosify	blond luigi stars in the end of this one	0.0	1.0	0.0	0.0
1664892046.96845	Awe Emperor of Chicken Killing	you didn't do small fire tho	0.0	0.711	0.289	0.2584
1664892046.970879	FUGP 1972	That's a lot of frame rules saved. So many buses that didn't pass Darbian's bus stop.	0.0	0.843	0.157	0.4215
1664892046.974117	Mirek Wdowiak	Hello Kosmic. You should submit it to speedruncom. And see, what will happen :D ;)	0.0	0.687	0.313	0.7125
1664892046.977129	Tyler Roberts	"Beat that, Niftski! 
(Doesn't help that SMB1 Mario is now arguably as fast as SMB3 Mario now)"	0.233	0.767	0.0	-0.5499
1664892046.983153	eMKayyoUwhY	"I don't know why people diss Todd Rogers all the time!! He's a legit world record holder who got trashed by many people just because he's just a better player. People are jealous/envious. Nothing but respect for Todd, he's one of the godlike gamers on our planet, just like Billy Mitchell! They are Gods for me!





*And then my alarm clock went off.....*

🤢🤢🤢🤢🤢🤢🤢
🤮🤮🤮🤮🤮🤮🤮

OMFG....."	0.075	0.873	0.052	-0.5266
1664892046.988445	Tim E	Nobody thought that the secret to speedrunning would be the power of friendship!	0.0	0.79	0.21	0.4926
1664892046.990775	Brendan Rizzo	Once humans tie the TAS all the way through, this will become a legit category.	0.0	1.0	0.0	0.0
1664892046.992967	Tyler gaming	!cc	0.0	1.0	0.0	0.0
1664892046.998035	Cabarkin	Who knew that in order to beat the world record, all Mario had to do was to turn Irish	0.0	1.0	0.0	0.0
1664892047.00102	Matheus Cabral	watch out with that description, you might get sued	0.0	1.0	0.0	0.0
1664892047.003184	Ryet9	🤣	0.0	0.556	0.444	0.4939
1662300047.005199	Falkite	that was easy! all mario had to do was break the sound barrier	0.096	0.701	0.203	0.4003
1662300047.227244	⚒️ SpareEnderboy ⚒️	what a time to be alive	0.0	0.658	0.342	0.3818
1662300047.236293	Nada • 10.9B de vistas . hace 2 segundos	how i make speedrun on android?	0.0	1.0	0.0	0.0
1662300047.244189	OG EZ PB	wait a minute... the SMB1 star doesn't give Mario extra speed!	0.0	1.0	0.0	0.0
1662300047.249551	Kosmic	 @OG EZ PB  yeah that started in nsmb ds i think	0.0	0.624	0.376	0.6633
1662300047.253669	Kosmic	 @LanDi3000  Twitch chat is a lot better... Among other things. I'll probably try out a YouTube stream here or there though now that they changed exclusivity agreements	0.0	0.833	0.167	0.6124
1662300047.672975	James Williams	Call guiness	0.0	1.0	0.0	0.0
1662300047.67844	Tech Marauder	Disliked for misleading clickbait title	0.643	0.357	0.0	-0.6597
1662300047.683173	SonicMaster 519	Misleading title, but overall a fun, silly video.	0.149	0.402	0.45	0.5789
1662300047.68675	DarkKen87	Lul	0.0	1.0	0.0	0.0
1662300047.689676	Hamlowe	Hey, I see myself in the chat!	0.0	1.0	0.0	0.0
1662300047.692437	Sir Randolph	Now time to try for a 4:33 for real XD	0.0	0.665	0.335	0.6739
1662300047.695868	Timothy R	Love your content but I've gotta be honest this is some nasty clickbait dude	0.214	0.479	0.307	0.2846
1662300047.698567	Underrated1	Clickbaited	0.0	1.0	0.0	0.0
1662300047.700818	Curtis Dyer	Billy Mitchell % - more stars than appear on one of his ties lol	0.0	0.823	0.177	0.4215
1662300047.702982	Khan	that water section :D	0.0	0.427	0.573	0.6166
1662300047.705017	DJTimo14	GG kosmic	0.0	0.254	0.746	0.4466
1662300047.706969	John Smith	Water section was perfection.	0.0	0.448	0.552	0.5719
1662300047.708964	Samuel North	Please make this a legit new category Mario on Drugs any%	0.0	0.813	0.187	0.3182
1662300047.711264	Ebbene Sì	I don't think this run is legit. I mean, there is see no pizza and no coke, so it must be fake	0.283	0.717	0.0	-0.7579
1662300047.713336	synday	the man who didnt need to wait for a bus	0.0	1.0	0.0	0.0
1662300047.716378	Austin Earle	The power of Luigi	0.0	1.0	0.0	0.0
1662300047.718518	keiharris332	Acceptable click bait	0.0	0.465	0.535	0.3182
1662300047.720524	Axel	I feel baited, I thought he got the final frame.	0.0	1.0	0.0	0.0
1662300047.722468	Enigma	Hey Kosmic, I want to see the entire run of this video and I don't use Twitch. Please upload it on to your other channel, if possible!	0.079	0.876	0.046	-0.2392
1662300047.724436	Mr. Top Hat Jones	"That was fucking amazing, dude…

I never thought of using ‘Crowd Control’ to assist in “beating” a world record.

Great video!"	0.0	0.691	0.309	0.8585
1662300047.934495	Kosmic	🤪	0.0	1.0	0.0	0.0
