Attribute name	Int. Data	Description
instaloader.node_type	CID	Internal information added by Instaloader and containing the type of content the data refers to (e.g. Post)
instaloader.version	CID	Internal information added by Instaloader and containing the software version used to collect the data
node.__typename	CID	Internal information added by Instaloader describing the type of content the post contains; e.g. GraphSideCar indicates the content is a a set of images
node.accessibility_caption	PID	The textual description of the content of the post, as inserted by Instagram’s visual recognition system and added for accessibility purposes
node.coauthor_producers.*	[SID]	An array of JSON objects containing details about the accounts labelled as coauthors of the content. The objects have the same structure of the user’s account (node.owner.*)
node.comments_disabled	SID	Whether the creator has disabled comments on their post or not
node.dimensions.*	[PID]	Dictionary containing details about the dimensions of the media content
node.dimensions.height	PID	Height in pixels of the media content
node.dimensions.width	PID	Width in pixels of the media content
node.display_url	PID	Direct link to the media content
node.edge_liked_by.*	[SID]	A JSON object containing the number of likes the post has received, when the content is a picture
node.edge_liked_by.count	SID	The number of likes the post has received, when the content is a picture
node.edge_media_preview_like.*	[SID]	A JSON object containing the number of likes the post has received, when the content is a video
node.edge_media_preview_like.count	SID	The number of likes the post has received, when the content is a video
node.edge_media_to_caption.*	[SID]	A JSON object containing the caption of the post
node.edge_media_to_caption.edges.0.node.text	SID	The textual content of the post, as inserted by the creator
node.edge_media_to_comment.*	[SID]	A JSON object containing the number of comments the post has received
node.edge_media_to_comment.count	SID	The number of comments the post has received
node.edge_media_to_tagged_user.edges.*	[SID]	An array of JSON objects containing details about the users tagged in the post
node.edge_media_to_tagged_user.edges.0.node.user.followed_by_viewer	CID	Whether the account used to collect the data follows the tagged user
node.edge_media_to_tagged_user.edges.0.node.user.full_name	SID	Full name of the tagged user
node.edge_media_to_tagged_user.edges.0.node.user.id	PID	Unique ID of the user tagged
node.edge_media_to_tagged_user.edges.0.node.user.is_verified	SID	Whether the tagged user is verified or not
node.edge_media_to_tagged_user.edges.0.node.user.profile_pic_url	PID	Direct link to the tagged user profile picture
node.edge_media_to_tagged_user.edges.0.node.user.username	SID	Username of the tagged user
node.edge_media_to_tagged_user.edges.0.node.x	SID	X-coordinate of the point where the tagged user is included in the media content
node.edge_media_to_tagged_user.edges.0.node.y	SID	Y-coordinate of the point where the tagged user is included in the media content
node.edge_sidecar_to_children.edges.*	[SID]	Array of JSON objects containing details about  the pictures contained in a multi-picture post. Each image contains the same attributes as the main picture (node)
node.fact_check_information	PID	Additional information added by the fact-checking system (see description)
node.fact_check_overall_rating	PID	Rating of the post according to the fact-checking system (see description)
node.gating_info	SID + PID	Whether the post is age-restricted or not
node.has_upcoming_event	SID	Whether the user has content labelled as upcoming event
node.id	PID	Unique ID of the content
node.is_video	SID	Whether the content of the post is a video or not
node.location.*	[SID]	A JSON object containing details about the location where the content was uploaded from, as indicated (tagged) by the user: details are included only if a location was added, otherwise the value of the object is equal to ‘null’
node.location.has_public_page	PID	Whether the location has a public page, i.e. a profile-like page containing all the posts tagged in this location
node.location.id	PID	The unique location ID, as assigned by Instagram
node.location.name	SID	The plain-text human-readable name of the location, e.g. 'Milan, Italy'
node.location.slug	PID	The slug-version of the location’s name, i.e. a human-readable and clean version in lower-case letters only, with no accented characters, and hyphen used as replacement for commas and other punctuation marks. E.g. 'milan-italy'
node.media_overlay_info	SID	Details about the overlay (e.g. stickers) applied to the content
node.media_preview	PID	BASE64 encoded version of the image preview  (see description)
node.nft_asset_info	unknown	[As of November 2022 this data-point appears to be unused]
node.owner.bio_links.*	[SID]	List of strings each one representing a link – extracted from the plain text biography – appearing in the biography
node.owner.biography	SID	Text appearing in the user biography field
node.owner.biography_with_entities.*	[SID]	Array containing the entities (i.e. usernames and hashtags) included in the user account biography – one object for each entity
node.owner.biography_with_entities.entities.*	[SID]	Array of JSON objects containing details about  the users included in the user account biography
node.owner.biography_with_entities.entities.0.hashtag.name	SID + PID	If the entity is a hashtag, it is reported in this attribute in plain text and without the # symbol
node.owner.biography_with_entities.entities.0.user.username	SID + PID	If the entity is a username, it is reported in this attribute in plain text and without the @ symbol
node.owner.biography_with_entities.raw_text	SID	Raw plain-text version of the biography, same as node.owner.biography
node.owner.blocked_by_viewer	CID	Whether the account that created the post is blocked by the account collecting the data
node.owner.business_address_json.*	[SID]	If the user’s account is set to business, the business’ address is included here as a JSON object
node.owner.business_category_name	SID + PID	If the user’s account is set to business, the name of the category the business belongs to (set from a predefined list of items, e.g. ‘Creators & Celebrities)
node.owner.business_contact_method	SID	If the user’s account is set to business, the preferred method set by the user to contact them (e.g. email)
node.owner.business_email	SID	If the user’s account is set to business, the business email address
node.owner.business_phone_number	SID	If the user’s account is set to business, the business phone number
node.owner.category_enum	PID	The internal name of the category the user’s account belongs to (selected from a predefined list of items, e.g. PERSON)
node.owner.category_name	PID	The full name of the category the user’s account belongs to (selected from a predefined list of items, e.g. Public figure)
node.owner.connected_fb_page	SID	The named of the Facebook page linked to the user’s account
node.owner.country_block	CID + SID	Whether the post is marked as non-visibile to the account collecting the data, following the creator’s decision to block this content to users from a set of countries.
node.owner.edge_follow.count	SID	The number of accounts followed by the user who created the post, at the time of the data collection
node.owner.edge_followed_by.count	SID	The number of followers the account has at the time of the collection of the data
