Attribute name	Int. Data	Description
_type	CID	Internal value added by snscrape, whose value describes the snscrape module used to collect the data (in the case of the twitter-search module, the value is snscrape.modules.twitter.Tweet)
cashtags.*	[SID]	An array containing the string version of the cashtags included in the tweet, without the $ character
content	SID	Content of the tweet with URLs transformed through the Twitter link shortener t.co (see attribute renderedContent)
conversationId	PID	The unique ID of the conversation
coordinates.*	[SID]	JSON object containing the geographical coordinates in Decimal Degrees (DD) format
coordinates._type	CID	Internal value added by snscrape, whose value described the snscrape module used to collect the data
coordinates.latitude	PID	The latitude of the location from where the tweet was sent
coordinates.longitude	PID	The longitude of the location from where the tweet was sent
date	SID	Date on which the tweet was posted, using the format YYYY-MM-DDTHH:MM:SS+TZ
hashtags.*	[SID]	List of strings containing the hashtags included in the tweet’s contents as strings stripped of the # character; one item for each hashtag
id	PID	Tweet unique ID
inReplyToTweetId	PID + SID	Unique ID of the tweet the current tweet replies to
inReplyToUser.*	[SID]	Array of JSON objects, each one containing details about the creator of the tweet the current tweet replies to, formatted according to the same structure as user.*
lang	PID	The language in which the content of the tweet is written, as identified by Twitter using 2-character ISO 639-1 format
likeCount	SID	The number of likes (visually rendered with the image of a heart on Twitter) the tweet has at the time of scraping
media.*	[SID]	Array of JSON objects, each one containing details regarding the attached media file
media._type	CID	Internal value added by snscrape, whose value describes the snscrape module used to collect the data
media.fullUrl	PID	For pictures only. Direct link to the full-sized image – appearing when a user clicks on the tweet’s image
media.previewUrl	PID	For pictures only. Direct link to the resized image – appearing when viewing the tweet from the web or app interface
media.thumbnailUrl	PID	For videos only.  Direct link to the video thumbnail
media.variants.*	[PID]	For videos only. Array of JSON objects, each one containing details regarding the different versions Twitter creates for the attached video.
media.variants.0._type	CID	For videos only. Internal value added by snscrape, whose value describes the snscrape module used to collect the data
media.variants.0.bitrate	PID	For videos only. The bitrate of the video
media.variants.0.contentType	PID	For videos only. The textual description of the format of the file, e.g. 'video/mp4'
media.variants.0.url	PID	For videos only. Direct link to the video
mentionedUsers.*	[SID]	Array of JSON objects composed of items containing details about users included in the tweet’s contents,  formatted according to the same structure as user.*
outlinks.*	[SID]	A list of strings, each one representing one of the links included in the tweet’s contents
place.*	[SID]	JSON object containing the details of the place from where the tweet was posted, as identified by Twitter
place._type	CID	Internal value added by snscrape, whose value describes the snscrape module used to collect the data
place.fullName	PID	Full extended name of the location as identified by Twitter
place.name	PID	Short name of the location as identified by Twitter
place.type	PID	Type of location: e.g. 'Country', 'City', etc…
place.country	PID	The name of the country where the place is located, as identified by Twitter
place.countryCode	PID	Two-letter country code of the country, in ISO 3166-2 format
quoteCount	SID	The number of times the tweet has been quoted by other tweets at the time of scraping
quotedTweet.*	[SID]	JSON object composed of items containing details about the quoted tweet and its creator, formatted according to the same structure as the JSON object for the original tweet
renderedContent	PID	Content (from attribute content) of the tweet as it appears on the web or app interface and formatted without the use of t.co URL shortener
replyCount	SID	Numbers of replies the tweet has received at the time of scraping
retweetCount	SID	The number of times the tweet has been retweeted at the time of scraping
retweetedTweet.*	[SID]	Array of JSON objects containing details about the retweeted tweet and its creator, formatted according to the same structure as the JSON object for the original tweet
source	PID + SID	'Link in HTML syntax of the application used by the user to post the tweet; for the official Twitter mobile interface this appears as <a href=\''https://mobile.twitter.com\'' rel=\''nofollow\''>Twitter Web App</a>'
sourceLabel	PID	Plain text name of the application used by the user to post the tweet
sourceUrl	PID	Direct link to the used-application website
tcooutlinks.*	[PID]	A list of strings, each one representing one of the links included in the tweet’s contents shortened using the t.co service
url	PID	Direct URL to the tweet
user.*	[SID]	JSON object containing details about the account who posted the tweet
user._type	CID	Internal value added by snscrape, whose value described the snscrape module used to collect the data
user.created	SID	Date on which the account was created, using the format YYYY-MM-DDTHH:MM:SS+TZ
user.description	SID	Description associated with the account, as written by the user and as appearing in the web or app interface
user.descriptionUrls.*	[SID]	JSON object containing details about the URLS included in the account description – one JSON item per URL
user.descriptionUrls.indices.*	[PID]	List containing the positional number of the first and last character of the URL
user.descriptionUrls.tcourl	PID	Shortened URL using the t.co service
user.descriptionUrls.text	SID	Plain text version of the URL, as written by the user
user.descriptionUrls.url	PID + SID	Full URL version, including http(s):// - if missing from the text version
user.displayname	SID	The full name associated with the account, as written by the user
user.favouritesCount	SID	The number of tweets the account has liked at the time of scraping
user.followersCount	SID	The number of followers the account has at the time of scraping
user.friendsCount	SID	The number of users the account is following – i.e. friends – at the time of scraping
user.id	PID	The account unique ID
user.label.*	[PID]	Array of JSON objects, each one containing details regarding the government and state-affiliated media account labels on Twitter (see description)
user.label._type	CID	Internal value added by snscrape, whose value describes the snscrape module used to collect the data
user.label.badgeUrl	PID	Direct link to the image appearing, in the Twitter interface, next to the description of the label
user.label.description	PID	Description appearing on the Twitter interface describing the details of the media account according to government and state-affiliated labels employed by Twitter
user.label.longDescription	PID	Longer description (if available) of the media account according to government and state-affiliated labels employed by Twitter
user.label.url	PID	URL to the documentation ‘About government and state-affiliated media account labels on Twitter’ (see description)
user.linkTcourl	PID	Shortened version of the URL the user has indicated in the ‘Website’ field of the account, using t.co
user.linkUrl	SID	Plain text version of the URL the user has indicated in the ‘Website’ field of the account
user.listedCount	SID	The number of public lists the account is a member of, at the time of scraping
user.location	SID	User-defined location of the account’s profile
user.mediaCount	SID	The number of multimedia contents the account has uploaded on Twitter at the time of scraping
user.profileBannerUrl	PID	Direct link to the account’s banner picture
user.profileImageUrl	PID	Direct link to the account’s profile picture
user.protected	SID	Indicates whether the account is public – i.e. anyone can read the user’s tweets, value equal to 'false' – or private – only accounts that have been accepted by the user can read their tweets, value equal to 'true'
user.rawDescription	PID	Description associated with the account, as written by the user with URLs transformed through the Twitter link shortener t.co
user.statusesCount	SID	The number of tweets the account has posted at the time of scraping
user.url	PID	Full link to the account’s page, using the username as written by the user
user.username	SID	Username of the account through which the tweet was posted
user.verified	SID	Indicates whether the account is verified by Twitter or not – i.e. if a blue stamp is shown next to the displayname value
